,0,1
1,player_8_hero_6,-0.01801872641312177
323,lh_player_5_600,-0.017970418841616126
205,hero92_team_radiant,-0.017432120216663294
159,player_0_hero_56,-0.017090148384566087
51,player_2_hero_9,-0.016343981797363853
193,player_5_hero_29,-0.016131191251344736
37,player_6_hero_47,-0.01578811032888129
9,player_7_hero_99,-0.01565870989009465
345,item_27_player6,-0.015559612772554755
59,player_9_hero_5,-0.015291936005744548
64,player_5_hero_26,-0.0149362829107635
122,player_9_hero_94,-0.014590814070645618
343,item_56_player9,-0.01443867610694985
81,player_4_hero_4,-0.014415687684477922
256,hero68_team_dire,-0.0143793027278142
210,hero20_team_radiant,-0.014322599561156456
132,player_6_hero_67,-0.013923487583442489
233,hero6_team_radiant,-0.013887358373483488
69,player_1_hero_44,-0.013548102763991245
106,player_0_hero_50,-0.01309479680562152
207,hero85_team_dire,-0.01230860772600311
35,player_0_hero_67,-0.01191845510730351
87,player_8_hero_82,-0.011622110352526686
188,player_7_hero_29,-0.011388885084522682
34,player_5_hero_16,-0.011012139665926533
186,player_5_hero_50,-0.010801681229961207
218,hero80_team_radiant,-0.010790495462601052
38,player_0_hero_20,-0.010679123879749012
224,hero53_team_radiant,-0.010424459982700977
71,player_4_hero_44,-0.010040110117103353
387,item_43_player9,-0.00998325862269657
380,item_33_player0,-0.009755354382904705
389,item_43_player8,-0.009105378457139728
52,player_4_hero_74,-0.008909725748348965
382,item_43_player7,-0.00873748675812188
11,player_4_hero_29,-0.008715834012743482
339,radiant_event_type_4,-0.007627446553914974
5,player_4_hero_17,-0.007237496521367608
209,hero103_team_dire,-0.00697640147455934
28,player_2_hero_81,-0.005545755257493977
57,player_9_hero_15,-0.005226904722000159
217,hero81_team_dire,-0.0051665398366737844
335,radiant_event_type_0,-0.00494671440667507
173,player_9_hero_50,-0.004776006321855864
62,player_5_hero_82,-0.0047175803407133385
24,player_5_hero_68,-0.004506139615905052
60,player_6_hero_96,-0.004289909245452476
177,player_6_hero_29,-0.004166428978113028
18,player_5_hero_47,-0.004099470155446212
17,player_5_hero_89,-0.003702326108926334
36,player_5_hero_5,-0.003477627767238714
386,item_43_player2,-0.003366842809720705
340,radiant_event_type_5,-0.003311238247383665
15,player_6_hero_90,-0.0017808415063850817
252,hero62_team_radiant,-0.0009877686301955145
171,player_8_hero_29,-0.0008926427896535157
374,item_43_player3,-0.0007742041475349283
110,player_4_hero_109,-0.00023016331052879495
14,player_6_hero_71,0.0003379078684962258
179,player_6_hero_50,0.0010151681236791076
155,player_7_hero_50,0.0015689525210805027
7,player_5_hero_24,0.00275548496393541
385,item_43_player4,0.0031758476808253456
167,player_1_hero_50,0.003177945569750016
235,hero63_team_radiant,0.0032359455577459055
108,player_1_hero_20,0.0033277235744613243
250,hero2_team_radiant,0.0034505138321618625
16,player_6_hero_24,0.003529442288620456
22,player_0_hero_71,0.0036189695557777776
346,item_28_player1,0.003642792679341947
168,player_3_hero_29,0.004005607611818989
50,player_2_hero_68,0.004662826387638713
273,hero107_team_dire,0.005666964400927901
32,player_8_hero_20,0.006032557048655202
33,player_6_hero_89,0.006103499315163352
148,player_2_hero_50,0.0065601827786849545
26,player_7_hero_91,0.0073348422819746965
113,player_4_hero_20,0.007675494298468009
264,hero3_team_radiant,0.008409371893092977
156,player_0_hero_94,0.008567171448795746
47,player_8_hero_24,0.008740301456134534
46,player_0_hero_74,0.009214608623000366
142,player_4_hero_67,0.009628578726405306
330,dire_event_type_2,0.009648260327616521
109,player_0_hero_3,0.009654474088002726
135,player_1_hero_94,0.009682928259567817
43,player_4_hero_48,0.009745321304449465
355,item_33_player3,0.010046056244924089
150,player_7_hero_24,0.01026395138787555
31,player_6_hero_81,0.010510475855471033
44,player_3_hero_36,0.010727305322066203
27,player_6_hero_1,0.010842723429625467
202,hero97_team_dire,0.010974691461358793
379,item_43_player6,0.011122631735630936
21,player_3_hero_90,0.01120133433280925
237,hero78_team_radiant,0.011709436984188814
383,item_33_player1,0.011897371395638987
25,player_3_hero_96,0.011938739784355893
376,item_28_player0,0.011963838495007307
61,player_3_hero_70,0.01269835391100799
49,player_8_hero_11,0.013277860414430489
12,player_4_hero_11,0.013535575922189215
4,player_3_hero_76,0.013763226014790714
318,lh_player_0_600,0.013890175980436055
99,player_1_hero_6,0.014122536668730038
181,player_0_hero_29,0.01430430260076183
39,player_2_hero_20,0.014720472912579819
95,player_3_hero_20,0.015191213072673362
63,player_9_hero_86,0.01519131905418021
2,player_0_hero_70,0.015298965275348117
390,item_43_player5,0.015508273571892356
369,item_56_player4,0.0156970769683223
6,player_1_hero_70,0.01616664943921709
54,player_4_hero_5,0.016221254213344933
131,player_3_hero_6,0.016454591738369086
101,player_5_hero_108,0.018100501954474074
319,lh_player_1_600,0.01825788486669734
90,player_5_hero_59,0.018351228231719773
325,lh_player_7_600,0.01855634408015229
19,player_5_hero_86,0.018738990466650667
274,hero108_team_dire,0.01893190480627132
336,radiant_event_type_1,0.019339171996193446
77,player_7_hero_77,0.01945060875460346
189,player_4_hero_94,0.0197278429339878
74,player_9_hero_51,0.019945528646057375
133,player_8_hero_50,0.01996717692271242
381,item_43_player0,0.020074688242321403
321,lh_player_3_600,0.02076973311621668
232,hero81_team_radiant,0.02081820537710841
203,hero1_team_radiant,0.020949079318360493
94,player_1_hero_3,0.021035151835273044
8,player_6_hero_59,0.021761626698079857
75,player_4_hero_104,0.021785144600447975
149,player_9_hero_29,0.021835252581858457
215,hero91_team_radiant,0.02197551085739395
170,player_2_hero_6,0.02267240361883901
356,item_28_player4,0.023521478026459514
363,item_32_player0,0.0236876982807756
141,player_3_hero_94,0.02379811937473314
66,player_6_hero_17,0.023906945219809773
58,player_5_hero_44,0.024587103561653417
262,hero106_team_dire,0.024658896512818135
114,player_4_hero_96,0.024718113956080673
98,player_9_hero_91,0.025544715814492656
76,player_2_hero_67,0.025639331990436283
270,hero41_team_dire,0.025901015359552387
192,player_2_hero_94,0.026480746764683025
125,player_6_hero_4,0.026645192132797854
347,item_48_player4,0.026718087702716838
328,dire_event_type_0,0.02673505439564012
244,hero31_team_dire,0.028024118904513992
332,dire_event_type_4,0.02834443960354122
236,hero104_team_dire,0.028452380697219566
282,hero30_team_dire,0.029067535060384543
102,player_5_hero_27,0.02912347097992045
145,player_0_hero_5,0.03047147911433422
107,player_1_hero_5,0.030491568056911462
83,player_2_hero_71,0.030697110030635293
129,player_8_hero_81,0.03079752588663292
204,hero27_team_radiant,0.030898691236438326
231,hero50_team_dire,0.030909445589680604
206,hero93_team_radiant,0.031141381915551422
143,player_2_hero_5,0.031413789580611196
225,hero69_team_dire,0.03153501014297269
0,player_3_hero_92,0.031638919967779074
111,player_2_hero_3,0.031805894288947596
373,item_56_player1,0.03209310848486406
